datetime,Open,High,Low,Close,price,total_liquidations,long_liquidations,short_liquidations,liquidation_count,Volume
2024-12-07 16:45:00,100048.04,100244.93,100048.04,100244.93,100135.655,0.0,0.0,0.0,0,0.0
2024-12-07 16:50:00,99331.58,99331.58,99331.58,99331.58,99331.58,198.66316,0.0,198.66316,1,198.66316
2024-12-07 16:55:00,99331.58,99331.58,99331.58,99331.58,99331.58,0.0,0.0,0.0,0,0.0
2024-12-07 17:00:00,99331.58,99331.58,99331.58,99331.58,99331.58,0.0,0.0,0.0,0,0.0
2024-12-07 17:05:00,99232.71,99232.71,99232.71,99232.71,99232.71,496.16355,0.0,496.16355,1,496.16355
2024-12-07 17:10:00,99196.21,99196.21,99196.21,99196.21,99196.21,198.39242,0.0,198.39242,1,198.39242
2024-12-07 17:15:00,99196.21,99196.21,99196.21,99196.21,99196.21,0.0,0.0,0.0,0,0.0
2024-12-07 17:20:00,99196.21,99196.21,99196.21,99196.21,99196.21,0.0,0.0,0.0,0,0.0
2024-12-07 17:25:00,100053.31,100064.18,100053.31,100064.18,100058.745,400.22411,400.22411,0.0,2,400.22411
2024-12-07 17:30:00,100002.36,100002.36,100002.36,100002.36,100002.36,5700.1345200000005,5700.1345200000005,0.0,1,5700.1345200000005
2024-12-07 17:35:00,99140.95,99955.87,99140.95,99955.87,99603.69,45554.65252,42677.21465,2877.43787,5,45554.65252
2024-12-07 17:40:00,100010.49,100010.49,99854.57,100009.48,99966.00833333335,7999.5452000000005,7999.5452000000005,0.0,6,7999.5452000000005
2024-12-07 17:45:00,99204.86,100079.58,99204.7,100079.58,99663.25071428572,28143.14585,22784.7215,5358.42435,14,28143.14585
2024-12-07 17:50:00,99297.0,100137.87,99275.54,99275.54,99717.61375,12228.196880000001,1401.70728,10826.4896,8,12228.196880000001
2024-12-07 17:55:00,99297.0,100137.87,99275.54,99275.54,99717.61375,0.0,0.0,0.0,0,0.0
2024-12-07 18:00:00,100165.3,100165.3,99336.18,99336.18,99750.73999999999,7411.40308,7312.0669,99.33618,2,7411.40308
2024-12-07 18:05:00,100118.29,100139.02,100118.29,100135.73,100131.01333333332,2403.1847900000002,2403.1847900000002,0.0,3,2403.1847900000002
2024-12-07 18:10:00,100184.05,100189.17,99439.94,99439.94,99937.72000000002,2603.3329200000007,2404.4530400000003,198.87988,3,2603.3329200000007
2024-12-07 18:15:00,100243.7,100243.7,99353.85,100136.45,99981.4675,9702.860900000001,7616.430050000001,2086.43085,4,9702.860900000001
2024-12-07 18:20:00,100120.98,100120.98,100120.98,100120.98,100120.98,200.24196,200.24196,0.0,1,200.24196
